股票代號,股票名稱,券商名稱,買進金額,買進股數,賣出金額,賣出股數,買賣超金額,買超比率
3014,聯陽,永豐金-大園,2317100.0,1400000.0,2500.0,5000.0,2314600.0,2.541678654335656
6261,久元,凱基-岡山,3406420.0,1878000.0,1059390.0,518000.0,2347030.0,2.5288650034339115
2454,聯發科,凱基-竹科,3634480.0,2698000.0,497290.0,789000.0,3137190.0,2.5073058723908956
3017,奇鋐,康和,3025890.0,1914000.0,1357310.0,939000.0,1668580.0,2.4902770425374445
3264,欣銓,凱基,7633700.0,3565000.0,4608780.0,2682000.0,3024920.0,2.482921358588718
5285,界霖,永豐金,6877010.0,2867000.0,4862380.0,2246000.0,2014630.0,2.473916569370063
2449,京元電子,凱基,8219670.0,7084000.0,6129010.0,5163000.0,2090660.0,2.473036735950163
2409,友達,群益金鼎,9749130.0,7635000.0,6808690.0,9209000.0,2940440.0,2.4722919820854594
5009,榮剛,元富-吉利,3274910.0,2649000.0,944630.0,663000.0,2330280.0,2.4514569898841687
6223,旺矽,永豐金-彰化,1927610.0,1697000.0,0.0,0.0,1927610.0,2.4510554386293286
2383,台光電,國票,7132270.0,4660000.0,3548940.0,2552000.0,3583330.0,2.4453190885061207
6173,信昌電,凱基,8805850.0,6289000.0,7303680.0,5203000.0,1502170.0,2.4008537249617055
2618,長榮航,永豐金,12205850.0,13409000.0,10444130.0,12388000.0,1761720.0,2.3849801969153326
6173,信昌電,凱基-苗栗,1479580.0,1498000.0,0.0,0.0,1479580.0,2.3647490992223523
1565,精華,凱基,5553330.0,3800000.0,2120330.0,1215000.0,3433000.0,2.3383365197964743
